mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__text__tvec__max_features,param_preprocessor__text__tvec__ngram_range,param_xgboost__colsample_bytree,param_xgboost__learning_rate,param_xgboost__max_depth,param_xgboost__min_child_weight,param_xgboost__min_split_loss,param_xgboost__objective,param_xgboost__reg_alpha,param_xgboost__reg_lambda,param_xgboost__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
6.335796892642975,0.024404385675255574,0.8320505619049072,0.03016969931876182,2500,"(1, 3)",0.9,0.35554860530076937,2,2,0,reg:squarederror,2,0,0.8608647605824367,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.35554860530076937, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 2, 'xgboost__reg_lambda': 0, 'xgboost__subsample': 0.8608647605824367}",0.3178357199086199,-0.014654783514636449,0.39594439933478853,0.25932399708286025,0.23961233320290806,0.15459538274601187,98
8.523689031600952,0.1563476588226877,0.9342935681343079,0.04871856376674267,7500,"(1, 3)",0.9,0.2307775871791419,2,1,0.05,reg:tweedie,2,6,0.7376851115910559,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.2307775871791419, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 1, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 2, 'xgboost__reg_lambda': 6, 'xgboost__subsample': 0.7376851115910559}",0.27708856631186485,0.31461918548573065,0.415522463944592,0.2953579387800934,0.3256470386305702,0.05355968732180736,72
5.1638177037239075,0.03036228399849884,0.6334939002990723,0.04060827166121469,2500,"(1, 2)",0.8,0.1644832634157385,2,2,0,reg:tweedie,6,10,0.8473924665198522,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.1644832634157385, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 6, 'xgboost__reg_lambda': 10, 'xgboost__subsample': 0.8473924665198522}",0.25849159097198726,0.32535936720249514,0.3804600402710372,0.29630332956853767,0.3151535820035143,0.04453932191753327,84
5.902121007442474,0.06343777358923433,0.6482224464416504,0.021120249537325754,5000,"(1, 2)",0.8,0.1767133044967023,2,3,0.05,reg:tweedie,10,9,0.5610439773503366,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.1767133044967023, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 3, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 10, 'xgboost__reg_lambda': 9, 'xgboost__subsample': 0.5610439773503366}",0.26661306931799356,0.3293570109711047,0.35957629751536047,0.2996078269886644,0.31378855119828075,0.034516350046904544,86
6.157601058483124,0.036685035854193276,0.8540745973587036,0.044124330090466665,2500,"(1, 3)",0.9,0.12829080911253127,2,2,0.05,reg:squarederror,3,8,0.6523906290790145,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.12829080911253127, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 3, 'xgboost__reg_lambda': 8, 'xgboost__subsample': 0.6523906290790145}",0.32019668961647385,0.29814282342166676,0.4501182155608461,0.30197642564459404,0.3426085385608952,0.06262745014094735,59
7.434273958206177,0.26498766120424566,0.8969992399215698,0.06814209365165849,5000,"(1, 3)",0.8,0.2282514468617469,2,2,0.05,reg:tweedie,7,10,0.6616014660103776,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.2282514468617469, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 10, 'xgboost__subsample': 0.6616014660103776}",0.26604148703788455,0.3375626919581626,0.25954817666599894,0.3110990314388774,0.29356284677523087,0.03224099553794739,93
6.016194760799408,0.08136935899012718,0.43190401792526245,0.013627606975245425,2500,"(1, 1)",0.9,0.38828662594442676,5,3,0.05,reg:squarederror,1,2,0.6504391549083848,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.38828662594442676, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 3, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 1, 'xgboost__reg_lambda': 2, 'xgboost__subsample': 0.6504391549083848}",0.29767484745375516,0.06849058613176329,0.4396043271216077,0.22426422012450586,0.257508495207908,0.13379572081200733,97
4.8913262486457825,0.04089094286783182,0.41345417499542236,0.0067390099240758365,2500,"(1, 1)",1,0.26432794458745595,3,3,0.05,reg:squarederror,4,0,0.8171756723506819,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 1, 'xgboost__learning_rate': 0.26432794458745595, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 3, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 4, 'xgboost__reg_lambda': 0, 'xgboost__subsample': 0.8171756723506819}",0.3181221842672648,0.25987170771807744,0.3867914956622782,0.23421868702915183,0.29975101866919307,0.058733274837888275,91
8.377395987510681,0.032616823336105515,0.7325754165649414,0.024637702481248882,5000,"(1, 2)",0.8,0.22955280962739785,5,3,0.1,reg:squarederror,7,10,0.621079969138713,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.22955280962739785, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 3, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 10, 'xgboost__subsample': 0.621079969138713}",0.33994581068393404,0.3350578576678408,0.4866113884624308,0.34527197896283235,0.3767217589442595,0.06354756166946617,17
7.033697485923767,0.3340911281650244,0.4856458902359009,0.09780027390924305,5000,"(1, 1)",0.9,0.27152297743410037,4,0,0,reg:tweedie,10,5,0.8479064033954409,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.27152297743410037, 'xgboost__max_depth': 4, 'xgboost__min_child_weight': 0, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 10, 'xgboost__reg_lambda': 5, 'xgboost__subsample': 0.8479064033954409}",0.283059012530537,0.35529938710542974,0.4558396896179462,0.30860573614154685,0.35070095634886495,0.06599761156033293,47
11.52196854352951,0.1801473871979991,0.9215911626815796,0.058911036130923945,7500,"(1, 3)",1,0.29555139904136585,4,2,0.1,reg:tweedie,8,0,0.6987860105437611,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 1, 'xgboost__learning_rate': 0.29555139904136585, 'xgboost__max_depth': 4, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 8, 'xgboost__reg_lambda': 0, 'xgboost__subsample': 0.6987860105437611}",0.3207018214606061,0.34115722730293785,0.4330607201054145,0.30655169265144533,0.35036786538010095,0.04930232051037528,48
6.58099627494812,0.029739543735403454,0.6651051640510559,0.010834328610128214,7500,"(1, 2)",0.8,0.2844278963837585,2,0,0.05,reg:squarederror,9,2,0.6142750108986499,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.2844278963837585, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 0, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 9, 'xgboost__reg_lambda': 2, 'xgboost__subsample': 0.6142750108986499}",0.30729459570829065,0.21838468386876997,0.4104442762706897,0.25075019610117844,0.2967184379872322,0.07296348008045236,92
