mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tvec__max_features,param_tvec__ngram_range,param_xgboost__colsample_bytree,param_xgboost__gamma,param_xgboost__learning_rate,param_xgboost__max_depth,param_xgboost__min_child_weight,param_xgboost__reg_alpha,param_xgboost__reg_lambda,param_xgboost__scale_pos_weight,param_xgboost__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
7.908419251441956,0.08028327804457729,0.4894794225692749,0.0032275846372057343,5000,"(1, 1)",1,0,0.8500385777897993,5,1,0,6,3,0.8344206263318037,"{'tvec__max_features': 5000, 'tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 1, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.8500385777897993, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 1, 'xgboost__reg_alpha': 0, 'xgboost__reg_lambda': 6, 'xgboost__scale_pos_weight': 3, 'xgboost__subsample': 0.8344206263318037}",0.5595993322203673,0.5557074504442926,0.5622025832766825,0.5626060400407195,0.5600288514955154,0.002748909079399507,53
6.446050226688385,0.09870853598999743,0.9396326541900635,0.035641985325828636,2500,"(1, 3)",0.9,0,0.8872127425763265,2,2,4,2,2,0.8608647605824367,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.8872127425763265, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__reg_alpha': 4, 'xgboost__reg_lambda': 2, 'xgboost__scale_pos_weight': 2, 'xgboost__subsample': 0.8608647605824367}",0.5534055727554179,0.5666011787819254,0.5682182985553772,0.538430904022302,0.5566639885287556,0.011992836135485177,63
8.573026835918427,0.04733439349476127,0.974847674369812,0.03789278922782428,7500,"(1, 3)",0.9,0,0.49379559636439074,2,1,9,2,3,0.9478817978367597,"{'tvec__max_features': 7500, 'tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.49379559636439074, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 1, 'xgboost__reg_alpha': 9, 'xgboost__reg_lambda': 2, 'xgboost__scale_pos_weight': 3, 'xgboost__subsample': 0.9478817978367597}",0.5498547918683447,0.5711488250652741,0.580225795415669,0.5722993565865221,0.5683821922339525,0.011253154384681168,15
4.351102948188782,0.19495605387032264,0.43467265367507935,0.04240533598998418,2500,"(1, 1)",0.9,0,0.1393314544058757,4,4,10,3,2,0.5384899549143964,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.1393314544058757, 'xgboost__max_depth': 4, 'xgboost__min_child_weight': 4, 'xgboost__reg_alpha': 10, 'xgboost__reg_lambda': 3, 'xgboost__scale_pos_weight': 2, 'xgboost__subsample': 0.5384899549143964}",0.5328864683703393,0.5521054870267972,0.5357927097057532,0.5460095944177933,0.5416985648801708,0.007736620297002697,89
7.866800367832184,0.3843693547216271,0.9559939503669739,0.06249026820777118,7500,"(1, 3)",0.9,0,0.8804678390152577,3,4,8,4,2.5,0.7282672852414551,"{'tvec__max_features': 7500, 'tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.8804678390152577, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 4, 'xgboost__reg_alpha': 8, 'xgboost__reg_lambda': 4, 'xgboost__scale_pos_weight': 2.5, 'xgboost__subsample': 0.7282672852414551}",0.552924791086351,0.5683836589698046,0.5757795503988397,0.5692749461593684,0.5665907366535908,0.008390648327074028,27
7.517520427703857,0.03601961106799945,0.7451966404914856,0.04079998390844057,5000,"(1, 2)",1,0,0.32434502100527396,4,3,8,6,2.5,0.5550259622638384,"{'tvec__max_features': 5000, 'tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 1, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.32434502100527396, 'xgboost__max_depth': 4, 'xgboost__min_child_weight': 3, 'xgboost__reg_alpha': 8, 'xgboost__reg_lambda': 6, 'xgboost__scale_pos_weight': 2.5, 'xgboost__subsample': 0.5550259622638384}",0.5667515460167333,0.5612879619465789,0.5693597560975611,0.5648011782032402,0.5655501105660283,0.002944641606224934,33
6.518404960632324,0.17012530649978638,0.9545443058013916,0.0438026250292301,2500,"(1, 3)",0.9,0,0.0005203769953158188,2,0,2,6,2.5,0.7553736512887829,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.0005203769953158188, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 0, 'xgboost__reg_alpha': 2, 'xgboost__reg_lambda': 6, 'xgboost__scale_pos_weight': 2.5, 'xgboost__subsample': 0.7553736512887829}",0.35426237876467587,0.32237196765498655,0.3492569002123142,0.33026529507309144,0.33903913542626707,0.01314272242557091,100
5.354339778423309,0.042385800893798134,0.6989437937736511,0.052043656179011424,2500,"(1, 2)",0.8,0,0.6924360328902703,3,3,7,10,2.5,0.6093821097865351,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.6924360328902703, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 3, 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 10, 'xgboost__scale_pos_weight': 2.5, 'xgboost__subsample': 0.6093821097865351}",0.5616929698708751,0.5576154125772446,0.5592130155126751,0.5584415584415585,0.5592407391005882,0.0015243507127069111,56
5.668225049972534,0.0519666672857712,0.4742256999015808,0.031237996812766906,2500,"(1, 1)",0.9,0,0.9717820827209607,5,3,6,1,3,0.6504391549083848,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.9, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.9717820827209607, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 3, 'xgboost__reg_alpha': 6, 'xgboost__reg_lambda': 1, 'xgboost__scale_pos_weight': 3, 'xgboost__subsample': 0.6504391549083848}",0.5508749189889826,0.5465425531914894,0.5612487275195114,0.5567219776498477,0.5538470443374578,0.005595517747866682,71
4.512524247169495,0.02991139184525137,0.4614261984825134,0.003509887982682202,2500,"(1, 1)",1,0,0.6095643339798968,3,3,5,6,2,0.6725356240133415,"{'tvec__max_features': 2500, 'tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 1, 'xgboost__gamma': 0, 'xgboost__learning_rate': 0.6095643339798968, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 3, 'xgboost__reg_alpha': 5, 'xgboost__reg_lambda': 6, 'xgboost__scale_pos_weight': 2, 'xgboost__subsample': 0.6725356240133415}",0.5637795275590551,0.5726802070888093,0.5715450468813698,0.5521721477872513,0.5650442323291214,0.008183195265020161,34
