mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_min_split_loss,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.414658010005951,0.05632907826407898,0.04475998878479004,0.0034715421580152088,1,0.7965429868602328,0.1834347898661638,5,4,0,6,9,3,0.5499874579090014,"{'colsample_bytree': 1, 'gamma': 0.7965429868602328, 'learning_rate': 0.1834347898661638, 'max_depth': 5, 'min_child_weight': 4, 'min_split_loss': 0, 'reg_alpha': 6, 'reg_lambda': 9, 'scale_pos_weight': 3, 'subsample': 0.5499874579090014}",0.7148155126483114,0.736320466451228,0.7290670158194381,0.7198167995027334,0.7250049486054277,0.008295824708938287,6
2.462204337120056,0.1224615274289729,0.05266678333282471,0.003087426052063497,1,0.8661761457749352,0.6011150117432088,5,2,0.05,4,1,2.5,0.6061695553391381,"{'colsample_bytree': 1, 'gamma': 0.8661761457749352, 'learning_rate': 0.6011150117432088, 'max_depth': 5, 'min_child_weight': 2, 'min_split_loss': 0.05, 'reg_alpha': 4, 'reg_lambda': 1, 'scale_pos_weight': 2.5, 'subsample': 0.6061695553391381}",0.7016765370456806,0.7113692730960652,0.7103590714516208,0.7135851412079276,0.7092475057003236,0.004524160791448056,72
1.2280671000480652,0.035424982191078556,0.03320103883743286,0.008945169195460559,0.8,0.6174815096277165,0.6116531604882809,2,3,0,0,10,3,0.6999304858576277,"{'colsample_bytree': 0.8, 'gamma': 0.6174815096277165, 'learning_rate': 0.6116531604882809, 'max_depth': 2, 'min_child_weight': 3, 'min_split_loss': 0, 'reg_alpha': 0, 'reg_lambda': 10, 'scale_pos_weight': 3, 'subsample': 0.6999304858576277}",0.6977193453243331,0.7201845497542427,0.7064203940248043,0.7042038022241832,0.7071320228318908,0.008186083440914881,82
1.7624462842941284,0.04268248184010906,0.045880913734436035,0.0020190457804469316,1,0.45606998421703593,0.7851759613930136,4,3,0.1,3,8,3,0.9299702033681603,"{'colsample_bytree': 1, 'gamma': 0.45606998421703593, 'learning_rate': 0.7851759613930136, 'max_depth': 4, 'min_child_weight': 3, 'min_split_loss': 0.1, 'reg_alpha': 3, 'reg_lambda': 8, 'scale_pos_weight': 3, 'subsample': 0.9299702033681603}",0.7196311585193813,0.7211191880857095,0.7214585695207145,0.7154379925429042,0.7194117271671774,0.0023949793000684638,31
2.5562910437583923,0.05514203658348114,0.04896646738052368,0.0054594859369416346,1,0.17052412368729153,0.06505159298527952,5,0,0.05,1,9,2,0.5079831261101071,"{'colsample_bytree': 1, 'gamma': 0.17052412368729153, 'learning_rate': 0.06505159298527952, 'max_depth': 5, 'min_child_weight': 0, 'min_split_loss': 0.05, 'reg_alpha': 1, 'reg_lambda': 9, 'scale_pos_weight': 2, 'subsample': 0.5079831261101071}",0.7072948500363745,0.7258846427306039,0.7225728742183803,0.7194007051591416,0.718788268036125,0.007020603861240217,36
1.755085825920105,0.06171458781706576,0.04277580976486206,0.006306670148394044,0.9,0.6842330265121569,0.4401524937396013,4,3,0,7,2,2.5,0.6955303037866204,"{'colsample_bytree': 0.9, 'gamma': 0.6842330265121569, 'learning_rate': 0.4401524937396013, 'max_depth': 4, 'min_child_weight': 3, 'min_split_loss': 0, 'reg_alpha': 7, 'reg_lambda': 2, 'scale_pos_weight': 2.5, 'subsample': 0.6955303037866204}",0.7152562182911992,0.7283757433947549,0.7224477008556527,0.7197919314107086,0.7214678984880789,0.004745317967400296,17
1.535309910774231,0.05262562527961138,0.0327831506729126,0.00626177495614946,0.9,0.662522284353982,0.31171107608941095,3,1,0.05,1,9,2.5,0.6975751180009072,"{'colsample_bytree': 0.9, 'gamma': 0.662522284353982, 'learning_rate': 0.31171107608941095, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.05, 'reg_alpha': 1, 'reg_lambda': 9, 'scale_pos_weight': 2.5, 'subsample': 0.6975751180009072}",0.7089922507176186,0.7271279340462313,0.7215395990454461,0.717294175488295,0.7187384898243977,0.006620124769358231,37
1.6387584805488586,0.03815424381166241,0.04374241828918457,0.0070895039705058845,0.9,0.7272719958564209,0.3265407688058354,3,3,0,7,4,2,0.6356745158869479,"{'colsample_bytree': 0.9, 'gamma': 0.7272719958564209, 'learning_rate': 0.3265407688058354, 'max_depth': 3, 'min_child_weight': 3, 'min_split_loss': 0, 'reg_alpha': 7, 'reg_lambda': 4, 'scale_pos_weight': 2, 'subsample': 0.6356745158869479}",0.7080323331634744,0.7234435971151171,0.7186157539481963,0.713472699356428,0.715891095895804,0.00574614718039207,53
1.8327004313468933,0.04807575350211173,0.05123203992843628,0.0016654342276183462,0.8,0.5867511656638482,0.965255307264138,5,3,0,8,0,2,0.9934434683002586,"{'colsample_bytree': 0.8, 'gamma': 0.5867511656638482, 'learning_rate': 0.965255307264138, 'max_depth': 5, 'min_child_weight': 3, 'min_split_loss': 0, 'reg_alpha': 8, 'reg_lambda': 0, 'scale_pos_weight': 2, 'subsample': 0.9934434683002586}",0.7163694609664455,0.7271865495782772,0.7219483162516908,0.7204124438504659,0.7214791926617198,0.0038743164216299354,16
1.6791701912879944,0.05703970249758156,0.040613651275634766,0.008828826678455403,0.8,0.1987156815341724,0.005522117123602399,4,2,0,7,2,3,0.8856351733429728,"{'colsample_bytree': 0.8, 'gamma': 0.1987156815341724, 'learning_rate': 0.005522117123602399, 'max_depth': 4, 'min_child_weight': 2, 'min_split_loss': 0, 'reg_alpha': 7, 'reg_lambda': 2, 'scale_pos_weight': 3, 'subsample': 0.8856351733429728}",0.6707790866913794,0.6888252401096693,0.6860567582669153,0.6966043988680141,0.6855663709839945,0.009372333540593568,99
