mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.8576478362083435,0.09728131633811336,0.04358220100402832,0.00873786951309373,1,0,0.7965429868602328,4,2,7,4,3,0.7229163764267956,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.7965429868602328, 'max_depth': 4, 'min_child_weight': 2, 'reg_alpha': 7, 'reg_lambda': 4, 'scale_pos_weight': 3, 'subsample': 0.7229163764267956}",0.4152733845458653,0.41876122082585276,0.4196796338672769,0.41776765375854213,0.41787047324938426,0.001644835475660177,70
2.4939465522766113,0.22581948757075518,0.04950815439224243,0.0125485138636282,1,0,0.05808361216819946,5,4,3,7,3,0.5102922471479012,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.05808361216819946, 'max_depth': 5, 'min_child_weight': 4, 'reg_alpha': 3, 'reg_lambda': 7, 'scale_pos_weight': 3, 'subsample': 0.5102922471479012}",0.3911007025761124,0.39663737103553687,0.40396279822078446,0.3992,0.39772521795810845,0.004640851338323116,86
1.36652410030365,0.14341804397441987,0.03544420003890991,0.004156148711087956,0.9,0,0.7219987722668247,3,1,4,0,2.5,0.762378215816119,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.7219987722668247, 'max_depth': 3, 'min_child_weight': 1, 'reg_alpha': 4, 'reg_lambda': 0, 'scale_pos_weight': 2.5, 'subsample': 0.762378215816119}",0.4202682563338301,0.4328433857070451,0.4346895074946467,0.43266331658291457,0.4301161165296091,0.00574069857753497,45
1.6971315145492554,0.12456372100149052,0.03637760877609253,0.006974758048658768,0.8,0,0.2912291401980419,4,1,2,6,2,0.5232252063599989,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.2912291401980419, 'max_depth': 4, 'min_child_weight': 1, 'reg_alpha': 2, 'reg_lambda': 6, 'scale_pos_weight': 2, 'subsample': 0.5232252063599989}",0.46226415094339623,0.47474747474747475,0.47900894700619406,0.47096774193548385,0.4717470786581372,0.006169894496012484,12
1.1548559069633484,0.08220507658769892,0.03557997941970825,0.011817744128164871,1,0,0.6803075385877797,2,1,3,8,2.5,0.9041986740582306,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.6803075385877797, 'max_depth': 2, 'min_child_weight': 1, 'reg_alpha': 3, 'reg_lambda': 8, 'scale_pos_weight': 2.5, 'subsample': 0.9041986740582306}",0.4147044690052859,0.4276790004805382,0.42948717948717946,0.4242273180458624,0.4240244917547165,0.005703077104594329,56
1.3127242922782898,0.09383412736664071,0.03496891260147095,0.00522651141685199,0.8,0,0.015966252220214194,3,3,6,7,3,0.5866823267538861,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.015966252220214194, 'max_depth': 3, 'min_child_weight': 3, 'reg_alpha': 6, 'reg_lambda': 7, 'scale_pos_weight': 3, 'subsample': 0.5866823267538861}",0.34629629629629627,0.35080012550988393,0.35926773455377575,0.3569221260815822,0.35332157061038455,0.005099829161988763,99
1.561239778995514,0.052506120388173094,0.0365486741065979,0.010220326101503191,0.8,0,0.2587799816000169,5,3,1,5,2.5,0.7733551396716398,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.2587799816000169, 'max_depth': 5, 'min_child_weight': 3, 'reg_alpha': 1, 'reg_lambda': 5, 'scale_pos_weight': 2.5, 'subsample': 0.7733551396716398}",0.4414698162729659,0.4456465739309634,0.4494441503440974,0.45068205666316896,0.4468106493027989,0.003598704336574381,33
1.2188367247581482,0.13643670914509506,0.029470205307006836,0.006897476901600877,0.9,0,0.03131329245555858,3,1,1,9,2.5,0.9633294328968971,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.03131329245555858, 'max_depth': 3, 'min_child_weight': 1, 'reg_alpha': 1, 'reg_lambda': 9, 'scale_pos_weight': 2.5, 'subsample': 0.9633294328968971}",0.3926463912846119,0.4087117701575533,0.4146341463414634,0.40904621435594885,0.40625963053489433,0.008204127558745701,78
1.844450056552887,0.06725907948600514,0.03321653604507446,0.005877726362682534,1,0,0.9218742350231168,5,3,8,7,2,0.6943386448447411,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.9218742350231168, 'max_depth': 5, 'min_child_weight': 3, 'reg_alpha': 8, 'reg_lambda': 7, 'scale_pos_weight': 2, 'subsample': 0.6943386448447411}",0.46350592638802246,0.4685714285714286,0.4647887323943662,0.46338302009073234,0.4650622768611374,0.0020994703139873756,20
1.6264713406562805,0.07557776998056244,0.04464036226272583,0.0074617799670101265,0.9,0,0.5396921323890798,5,1,8,8,2,0.9010984903770198,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.5396921323890798, 'max_depth': 5, 'min_child_weight': 1, 'reg_alpha': 8, 'reg_lambda': 8, 'scale_pos_weight': 2, 'subsample': 0.9010984903770198}",0.4835164835164835,0.4840182648401826,0.4934976043805613,0.4935418082936778,0.48864354025772627,0.004879417275061505,1
