mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.9752682447433472,0.03346893091640554,0.02243983745574951,0.0004987720236266416,1,0,0.7965429868602328,4,2,7,4,3,0.7229163764267956,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.7965429868602328, 'max_depth': 4, 'min_child_weight': 2, 'reg_alpha': 7, 'reg_lambda': 4, 'scale_pos_weight': 3, 'subsample': 0.7229163764267956}",0.52112276722427,0.5266723116003387,0.5241497570734496,0.5226560273582217,0.5236502158140699,0.002046888582155215,22
1.1657764315605164,0.008868933815778704,0.02418571710586548,0.0008273169419658322,1,0,0.05808361216819946,5,4,3,7,3,0.5102922471479012,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.05808361216819946, 'max_depth': 5, 'min_child_weight': 4, 'reg_alpha': 3, 'reg_lambda': 7, 'scale_pos_weight': 3, 'subsample': 0.5102922471479012}",0.5170278637770898,0.5279755849440488,0.5275944019012411,0.5233350812794966,0.523983232975469,0.004409554301690812,19
0.7247294783592224,0.010091497868280059,0.020445525646209717,0.0004982354324647064,0.9,0,0.7219987722668247,3,1,4,0,2.5,0.762378215816119,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.7219987722668247, 'max_depth': 3, 'min_child_weight': 1, 'reg_alpha': 4, 'reg_lambda': 0, 'scale_pos_weight': 2.5, 'subsample': 0.762378215816119}",0.508566275924256,0.5194647201946472,0.5103708359522312,0.521186440677966,0.5148970681872751,0.005499667265166222,58
0.8744117021560669,0.004802315921860626,0.022190392017364502,0.0004320525676972448,0.8,0,0.2912291401980419,4,1,2,6,2,0.5232252063599989,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.2912291401980419, 'max_depth': 4, 'min_child_weight': 1, 'reg_alpha': 2, 'reg_lambda': 6, 'scale_pos_weight': 2, 'subsample': 0.5232252063599989}",0.506198347107438,0.51879958606416,0.5030719190458981,0.5097765363128492,0.5094615971325864,0.005890119072471942,71
0.5730936527252197,0.008443078496994974,0.019448459148406982,0.0004989506594240954,1,0,0.6803075385877797,2,1,3,8,2.5,0.9041986740582306,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.6803075385877797, 'max_depth': 2, 'min_child_weight': 1, 'reg_alpha': 3, 'reg_lambda': 8, 'scale_pos_weight': 2.5, 'subsample': 0.9041986740582306}",0.5083946980854197,0.5241460541813899,0.521244763614602,0.5126506024096386,0.5166090295727626,0.006352974843477546,48
0.7291885018348694,0.0037466330734230724,0.020445406436920166,0.000498473907962352,0.8,0,0.015966252220214194,3,3,6,7,3,0.5866823267538861,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.015966252220214194, 'max_depth': 3, 'min_child_weight': 3, 'reg_alpha': 6, 'reg_lambda': 7, 'scale_pos_weight': 3, 'subsample': 0.5866823267538861}",0.49275362318840576,0.4966681474900045,0.5026297736107935,0.5076923076923077,0.4999359629953779,0.00569390292262899,89
0.9334402680397034,0.004376785381005031,0.02368682622909546,0.000827173363821803,0.8,0,0.2587799816000169,5,3,1,5,2.5,0.7733551396716398,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.2587799816000169, 'max_depth': 5, 'min_child_weight': 3, 'reg_alpha': 1, 'reg_lambda': 5, 'scale_pos_weight': 2.5, 'subsample': 0.7733551396716398}",0.5225225225225224,0.5313267813267812,0.5301280049953169,0.5335403726708073,0.529379420378857,0.004143765370336306,6
0.6604836583137512,0.002378458274430977,0.020445287227630615,0.0004982355465541682,0.9,0,0.03131329245555858,3,1,1,9,2.5,0.9633294328968971,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.03131329245555858, 'max_depth': 3, 'min_child_weight': 1, 'reg_alpha': 1, 'reg_lambda': 9, 'scale_pos_weight': 2.5, 'subsample': 0.9633294328968971}",0.49189650270116575,0.507918226317305,0.501354198013843,0.49701314217443254,0.49954551730168656,0.005879921987638527,90
1.1347149014472961,0.02214833558475878,0.024684607982635498,0.0004317769148208069,1,0,0.9218742350231168,5,3,8,7,2,0.6943386448447411,"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.9218742350231168, 'max_depth': 5, 'min_child_weight': 3, 'reg_alpha': 8, 'reg_lambda': 7, 'scale_pos_weight': 2, 'subsample': 0.6943386448447411}",0.5094274940006857,0.5107266435986159,0.49411764705882355,0.5005250262513127,0.5036992027273595,0.006783801505082001,82
0.9464845061302185,0.0026840603393131304,0.023936152458190918,0.0007052854083167405,0.9,0,0.5396921323890798,5,1,8,8,2,0.9010984903770198,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.5396921323890798, 'max_depth': 5, 'min_child_weight': 1, 'reg_alpha': 8, 'reg_lambda': 8, 'scale_pos_weight': 2, 'subsample': 0.9010984903770198}",0.5228940929744844,0.521067415730337,0.5196396396396397,0.5213644524236983,0.5212414001920398,0.0011556862404000362,30
