mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__text__tvec__max_features,param_preprocessor__text__tvec__ngram_range,param_rf__bootstrap,param_rf__max_depth,param_rf__max_features,param_rf__max_samples,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
21.570897042751312,0.3004643025600985,0.6675745844841003,0.056013270653267,2500,"(1, 2)",False,4,auto,0.9,4,2,100,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'rf__bootstrap': False, 'rf__max_depth': 4, 'rf__max_features': 'auto', 'rf__max_samples': 0.9, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.24732040883851936,0.14396980223286482,0.3434227502894188,0.11012783524827197,0.21121019915226874,0.0915464652404416,51
19.036611080169678,0.8475801625119783,0.38308656215667725,0.05100532669539333,2500,"(1, 1)",False,4,auto,0.9,2,4,100,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'rf__bootstrap': False, 'rf__max_depth': 4, 'rf__max_features': 'auto', 'rf__max_samples': 0.9, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.29958406104641033,-1.0009640207826629,0.3995423929485433,0.022841033584502624,-0.06974913330080165,0.5550620800252569,95
20.70781832933426,0.517090466380962,0.7487397193908691,0.01089030598946747,7500,"(1, 2)",False,2,auto,1,3,4,150,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'rf__bootstrap': False, 'rf__max_depth': 2, 'rf__max_features': 'auto', 'rf__max_samples': 1, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.21637896731276318,0.05620416505477044,0.2868345876219892,0.08228983923401667,0.16042688980588488,0.094970148034949,63
4.075271487236023,0.029510862926835833,1.0464973449707031,0.006675552223424949,5000,"(1, 3)",True,3,sqrt,1,3,5,200,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 3), 'rf__bootstrap': True, 'rf__max_depth': 3, 'rf__max_features': 'sqrt', 'rf__max_samples': 1, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",-0.0005422020162706431,-0.002478593855855804,-0.0002605148347403219,-0.004937207258860488,-0.002054629491431814,0.0018705136083809399,77
20.362495243549347,0.08797000538939083,0.9496460556983948,0.05627722787658695,7500,"(1, 3)",True,4,auto,0.9,4,5,100,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'rf__bootstrap': True, 'rf__max_depth': 4, 'rf__max_features': 'auto', 'rf__max_samples': 0.9, 'rf__min_samples_leaf': 4, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.2931016697368357,0.2610988402030261,0.41102676960113904,0.27363334075247936,0.30971515507337005,0.059593402591038035,5
4.082138359546661,0.09127801001920442,0.9746626019477844,0.02987991092544405,7500,"(1, 3)",False,2,sqrt,0.8,3,2,100,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'rf__bootstrap': False, 'rf__max_depth': 2, 'rf__max_features': 'sqrt', 'rf__max_samples': 0.8, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.2051401482837255,0.16000971543017817,0.22822711125584705,0.15813429296824855,0.18787781698449982,0.029947295100005704,58
3.3483704924583435,0.013880656871207294,0.7742685675621033,0.012199877516579614,5000,"(1, 2)",True,5,sqrt,0.9,2,3,150,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'rf__bootstrap': True, 'rf__max_depth': 5, 'rf__max_features': 'sqrt', 'rf__max_samples': 0.9, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 3, 'rf__n_estimators': 150}",0.2663141287726425,0.20000980397931778,0.3317035401829126,0.21966861073075783,0.2544240209164077,0.050700947488544174,24
1.2918975949287415,0.02120702278017493,0.3579980134963989,0.010906116521765827,2500,"(1, 1)",True,3,auto,1,2,4,100,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'rf__bootstrap': True, 'rf__max_depth': 3, 'rf__max_features': 'auto', 'rf__max_samples': 1, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",-0.016748694072788783,-5.330464566655202e-05,-0.0024305348959694495,-1.138185286997384e-05,-0.00481097886682369,0.006961450160134078,84
2.724768877029419,0.0772758815196615,0.7553658485412598,0.05092452139997721,5000,"(1, 2)",True,4,auto,1,3,5,100,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'rf__bootstrap': True, 'rf__max_depth': 4, 'rf__max_features': 'auto', 'rf__max_samples': 1, 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",-0.0069564660218632834,-0.014338829429295874,-0.0002506054666202573,-0.02532351944563138,-0.011717355090852699,0.009302583617313308,89
4.540275752544403,0.06206149598832721,0.9734451174736023,0.025750912070842697,5000,"(1, 3)",False,4,sqrt,0.8,2,5,150,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 3), 'rf__bootstrap': False, 'rf__max_depth': 4, 'rf__max_features': 'sqrt', 'rf__max_samples': 0.8, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 150}",0.2661863616461573,0.1847285302836562,0.3054779028984266,0.20340934609043848,0.23995053522966964,0.04839132885992881,31
