post_id,post_slug,unix_time,date_time,post_caption,hashtags,topic_tags,is_video,is_ad,post_likes,geo_tag,geo_slug,owner_id,owner_verified,owner_privacy,owner_unpublished,owner_total_posts,owner_total_followers
2386966817489710937,CEgNax_Hm9Z,1598768640,2020-08-30 06:24:00,"The best wines are the ones we drink with friends 🥂 This summer, give the gift of a great time for your loved ones and friends to experience the rich, oak flavours of the best wines from acclaimed French 🇫🇷 vineyards, learn proper tasting techniques and become confident wine consumers!
 
Enjoy 15% off storewide this August and give the gift of a great time to your loved ones with code 𝐓𝐇𝐈𝐒𝟏𝟓𝐇𝐎𝐌𝐄. All Magicboxes are valid for 12 months. T&Cs apply. #magicboxsg #magixers","['#magicboxsg', '#magixers']",,False,False,16,Singapore,singapore,8037755353,False,False,False,206,352
2365402160173979282,CDTmLt0HJaS,1596197932,2020-07-31 12:18:52,"Spermwhale.⁣
⁣⁣
#NUS #Naturalhistorymuseum #Biodiversity #University #Ocean #Spermwhale #Singapoliday #Singaporediscovers #Asian #Sgboy #Definingmoments","['#NUS', '#Naturalhistorymuseum', '#Biodiversity', '#University', '#Ocean', '#Spermwhale', '#Singapoliday', '#Singaporediscovers', '#Asian', '#Sgboy', '#Definingmoments']",['Photo by 𝒮𝒶𝓂𝓊𝑒𝓁 𝒮𝑒𝑒𝓉 in Lee Kong Chian Natural History Museum.'],False,False,49,Lee Kong Chian Natural History Museum,lee-kong-chian-natural-history-museum,963994022,False,False,False,631,14135
2358931316644173681,CC8m4jKHtdx,1595426548,2020-07-22 14:02:28,"Singapore’s tourism industry has taken a pause for a good 4+ months...The reopening of staycation and the injection of $45million to tourism, is our way of bouncing back onto our feet.

Thank goodness for WFH too or rather work anywhere 😂 Enjoying my  #singapoliday courtesy of my bro and #MarinaBaySands 
#thisisnotasponsoredpost 🤣 

Read: https://www.channelnewsasia.com/news/singapore/singaporediscovers-45-million-tourism-campaign-stb-singapoliday-12952932","['#singapoliday', '#MarinaBaySands', '#thisisnotasponsoredpost']","['night', 'outdoor', 'water.']",False,False,42,Marina Bay Sands,marina-bay-sands,6212754,False,False,False,2671,663
2412550219156649599,CF7GaRfn3Z_,1601818419,2020-10-04 13:33:39,"Combing through new places weekly, while we're stuck in SG 🌴

#singapoliday #singaporediscovers
#visitsingapore #rediscoversingapore #sg #visitsg","['#singapoliday', '#singaporediscovers', '#visitsingapore', '#rediscoversingapore', '#sg', '#visitsg']","['2 people', 'people st', 'ing', 'tree', 'sky', 'outdoor.']",False,False,70,Singapore Botanic Gardens,singapore-botanic-gardens,2352456513,False,False,False,410,608
2370877267537020783,CDnDFA5l8dv,1596850616,2020-08-08 01:36:56,"📍Sungei Buloh, SG
👩🏻‍⚕️: @nicnicnicoleee
#singapoliday
#singaporeworld","['#singapoliday', '#singaporeworld']","['sky', 'bridge', 'shoes', 'ocean', 'outdoor', 'water.']",False,False,31,Sungei Buloh Wetland Reserve,sungei-buloh-wetland-reserve,3247361391,False,False,False,27,87
2416795686216222368,CGKLt8znUag,1602324518,2020-10-10 10:08:38,#jewelsingapore #rainbow🌈 #singapoliday #touristinyourowncountry,"['#jewelsingapore', '#rainbow', '#singapoliday', '#touristinyourowncountry']","['1 person', 'text.']",False,False,20,,,1040409200,False,False,False,1055,221
2366889789415749560,CDY4bkgn_e4,1596375271,2020-08-02 13:34:31,"Hello August! 👋
Can time slow down please.
#singapoliday",['#singapoliday'],,False,False,69,,,289590083,False,False,False,438,714
2369681513317919787,CDizMgAH-wr,1596708071,2020-08-06 10:01:11,"Living in a 'city in a garden' like Singapore, we are blessed to have the privilege of urban life and being close to our natural environment at the same time. At Bukit Panjang in particular, residents are surrounded by it everyday! There's nature reserves, ponds, park connectors and canals that are part and parcel of life there.

On the PODSCAPE podcast, you can listen to residents reminiscing their encounters with nature and wildlife, and also hear ex-Bukit Panjang MP Dr @teo_ho_pin share his thoughts about the greenery in the neighbourhood! Listen to it on Spotify or through the link in our bio. 

If you are ready to spend a #Singapoliday in Bukit Panjang and be an explorer of the greens, we also suggest checking out @natureadventuressg, @naturesocietysingapore, @youngnautilus (and more) to discover more about Singapore's biodiversity. 🌱 🌸 🌺 🌷 💐 🍀 🌳 🐣

#SingapoRediscovers #VisitSingapore
#bukitpanjang #podscape #sgig","['#Singapoliday', '#SingapoRediscovers', '#VisitSingapore', '#bukitpanjang', '#podscape', '#sgig']",,False,False,39,"Bukit Panjang, Singapore",bukit-panjang-singapore,1347197698,False,False,False,790,2783
2407190989338762743,CFoD3NyDt33,1601179549,2020-09-27 04:05:49,"No speed limit 
.
.
.
#marinapromenade #helixbridge #marinabaystreetcircuit #formula1 #SingaporeOnCycle #oursingapore 
#lovecycling #cycling #sginstagram #cyclingshots #cyclingphotos #cyclegram #SingaporeCycling #FitnessForLife #cycletowork #cyclephotography #cycle #instacycle #bikestagram #cyclingpics #singapore #singaporetourism #singaporetourismboard #exploresingapore #discoversingapore #rediscoversingapore #singapoliday #singaporediscovers","['#marinapromenade', '#helixbridge', '#marinabaystreetcircuit', '#formula1', '#SingaporeOnCycle', '#oursingapore', '#lovecycling', '#cycling', '#sginstagram', '#cyclingshots', '#cyclingphotos', '#cyclegram', '#SingaporeCycling', '#FitnessForLife', '#cycletowork', '#cyclephotography', '#cycle', '#instacycle', '#bikestagram', '#cyclingpics', '#singapore', '#singaporetourism', '#singaporetourismboard', '#exploresingapore', '#discoversingapore', '#rediscoversingapore', '#singapoliday', '#singaporediscovers']",['outdoor.'],False,False,14,,,220840184,False,False,False,138,210
2388612033634603007,CEmDf07A4__,1598964765,2020-09-01 12:52:45,"好喜歡這個視角的 Gardens by the Bay 😳 
.
.
.
#WBYL在小紅點旅行 #singapore #singapore🇸🇬 #singaporetravel #singapoliday #singapore_insta #instasingapore #singaporeig #gardensofinstagram #gardensbythebay #gardensbythebaysingapore #mbs #marinabaysands #sandsskypark #skypark #skyview #flowerphotography #flowersofinstagram #gardenphotography #lyltravelmap #seaside #cityphotography #singaporecity #singaporeview #singaporelife #iphonephotography #sandsrewardslifestyle #sandsrewards #sandsrewardsclub #shapesofhome","['#WBYL在小紅點旅行', '#singapore', '#singapore', '#singaporetravel', '#singapoliday', '#singapore_insta', '#instasingapore', '#singaporeig', '#gardensofinstagram', '#gardensbythebay', '#gardensbythebaysingapore', '#mbs', '#marinabaysands', '#sandsskypark', '#skypark', '#skyview', '#flowerphotography', '#flowersofinstagram', '#gardenphotography', '#lyltravelmap', '#seaside', '#cityphotography', '#singaporecity', '#singaporeview', '#singaporelife', '#iphonephotography', '#sandsrewardslifestyle', '#sandsrewards', '#sandsrewardsclub', '#shapesofhome']",,False,False,61,Gardens by the Bay,gardens-by-the-bay,9026136,False,False,False,212,629
